food_id,name_ptbr,food_group,food_type,calories_per_unit,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,allergen_review_status,restriction_tokens,food_group_id,food_group_nome,food_type_id,food_type_nome,food_source_id,food_source_nome,food_preparation_method_id,food_preparation_method_nome,food_measurement_unit_id,food_measurement_unit_nome
food_037,Alface,Vegetais,,15.00,1.40,2.90,0.20,1.30,0.80,28.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_038,Alho,Vegetais,Raiz,149.00,6.40,33.10,0.50,2.10,1.00,17.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_039,Alho-poró,Vegetais,Vegetal,61.00,1.50,14.20,0.30,1.80,3.90,20.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_040,Aspargos,Vegetais,Vegetal,20.00,2.20,3.90,0.10,2.10,1.20,14.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_041,Beringela,Vegetais,Vegetal,35.00,1.00,5.90,0.20,3.00,3.50,2.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_042,Bertalha,Vegetais,,19.00,1.80,3.40,0.30,2.10,0.50,24.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_043,Beterraba,Vegetais,Raiz,44.00,1.60,9.60,0.20,2.00,6.80,78.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_044,Brócolis,Vegetais,Vegetal,34.00,2.80,6.60,0.40,2.60,1.70,33.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_045,Broto de bambu,Vegetais,Vegetal,20.00,2.60,5.20,0.30,2.20,3.00,4.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_046,Cebola,Vegetais,Raiz,40.00,1.10,9.30,0.10,1.70,4.20,4.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_047,Cebola roxa,Vegetais,Raiz,42.00,1.20,9.90,0.10,1.60,4.20,4.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_048,Cebolinha,Vegetais,Vegetal,32.00,1.80,4.40,0.70,2.50,1.90,3.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_049,Cenoura,Vegetais,Raiz,41.00,0.90,9.60,0.20,2.80,4.70,69.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_050,Chuchu,Vegetais,Vegetal,19.00,0.80,3.60,0.10,1.00,1.70,2.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_051,Cogumelo Paris,Vegetais,Vegetal,22.00,3.10,3.30,0.30,1.00,2.00,5.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,fungi,Fungi,raw,Cru,g,Grama
food_052,Cogumelo Shitake,Vegetais,Vegetal,34.00,2.20,6.80,0.50,2.50,2.40,9.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,fungi,Fungi,raw,Cru,g,Grama
food_053,Cogumelo Shimeji,Vegetais,Vegetal,28.00,2.70,5.00,0.40,2.30,2.00,5.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,fungi,Fungi,raw,Cru,g,Grama
food_054,Couve,Vegetais,,27.00,4.30,8.90,0.90,3.10,0.50,17.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_055,Couve-flor,Vegetais,Vegetal,25.00,1.90,5.00,0.30,2.00,1.90,30.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_056,Endívia,Vegetais,,17.00,1.10,4.00,0.10,3.10,0.20,22.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_057,Escarola,Vegetais,,17.00,1.70,3.10,0.20,3.10,0.50,22.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_058,Espinafre,Vegetais,,23.00,2.90,3.60,0.40,2.20,0.40,79.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_059,Funcho (erva-doce),Vegetais,Vegetal,31.00,1.20,7.30,0.20,3.10,3.90,52.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_060,Gengibre,Vegetais,Raiz,80.00,1.80,17.80,0.80,2.00,1.70,13.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_061,Jiló,Vegetais,Vegetal,27.00,1.40,7.90,0.20,4.80,2.00,2.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_062,Maxixe,Vegetais,Vegetal,14.00,1.40,3.80,0.10,2.20,1.00,1.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_063,Mostarda (folha),Vegetais,,27.00,2.70,4.70,0.40,3.20,1.30,20.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_064,Nabo,Vegetais,Raiz,22.00,0.90,6.40,0.10,1.80,3.80,67.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_065,Palmito,Vegetais,Vegetal,28.00,2.50,4.60,0.40,2.40,1.50,426.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_066,Pepino,Vegetais,Vegetal,15.00,0.70,3.60,0.10,0.50,1.70,2.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_067,Pepino Japonês,Vegetais,Vegetal,12.00,0.70,2.20,0.10,0.70,1.70,2.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_068,Pimenta Dedo-de-Moça,Vegetais,Vegetal,40.00,1.90,8.80,0.40,1.50,5.30,9.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_069,Pimentão Amarelo,Vegetais,Vegetal,27.00,1.00,6.30,0.20,1.50,2.40,2.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_070,Quiabo,Vegetais,Vegetal,33.00,1.90,7.50,0.20,3.20,1.50,7.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_071,Rabanete,Vegetais,Raiz,16.00,0.70,3.40,0.10,1.60,1.90,39.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_072,Rabanete Branco (Daikon),Vegetais,Raiz,18.00,0.60,4.10,0.10,1.60,2.50,21.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_073,Raiz de Bardana,Vegetais,Raiz,72.00,1.50,17.30,0.20,3.30,2.90,5.00,unreviewed,,vegetables,Vegetais,root_vegetable,Raiz,vegetable,Vegetal,raw,Cru,g,Grama
food_074,Repolho,Vegetais,,25.00,1.30,5.80,0.10,2.00,3.20,18.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_075,Rúcula,Vegetais,,25.00,2.60,3.70,0.70,1.60,2.10,27.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_076,Taioba,Vegetais,,31.00,2.90,6.70,0.90,3.70,0.00,1.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,boiled,Cozido,g,Grama
food_077,Tomate,Vegetais,Fruta,18.00,0.90,3.90,0.20,1.20,2.60,5.00,unreviewed,,vegetables,Vegetais,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_078,Tomate-cereja,Vegetais,Fruta,21.00,0.90,4.20,0.20,1.50,2.60,5.00,unreviewed,,vegetables,Vegetais,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_079,Banana,Frutas,Fruta,89.00,1.10,22.80,0.30,2.60,12.20,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_080,Maçã,Frutas,Fruta,52.00,0.30,13.80,0.20,2.40,10.40,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_081,Mamão,Frutas,Fruta,43.00,0.50,10.80,0.30,1.70,7.80,8.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_082,Abacaxi,Frutas,Fruta,50.00,0.50,13.10,0.10,1.40,9.90,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_083,Melancia,Frutas,Fruta,30.00,0.60,7.60,0.20,0.40,6.20,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_084,Uva,Frutas,Fruta,69.00,0.70,18.10,0.20,0.90,15.50,2.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_085,Laranja,Frutas,Fruta,47.00,0.90,11.80,0.10,2.20,9.40,0.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_086,Pera,Frutas,Fruta,57.00,0.40,15.20,0.10,3.10,9.80,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_087,Manga,Frutas,Fruta,60.00,0.80,15.00,0.40,1.60,13.70,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_088,Morango,Frutas,Fruta,32.00,0.70,7.70,0.30,2.00,4.90,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_089,Kiwi,Frutas,Fruta,61.00,1.10,14.70,0.50,3.00,9.00,3.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_090,Ameixa,Frutas,Fruta,46.00,0.70,11.40,0.30,1.40,9.90,0.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_091,Framboesa,Frutas,Fruta,52.00,1.20,11.90,0.70,6.50,4.40,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_092,Blueberry (mirtilo),Frutas,Fruta,57.00,0.70,14.50,0.30,2.40,9.90,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_093,Caju,Frutas,Fruta,43.00,0.20,10.20,0.30,1.60,9.10,2.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_094,Graviola,Frutas,Fruta,66.00,1.00,16.80,0.30,3.30,13.50,14.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_095,Goiaba,Frutas,Fruta,68.00,2.60,14.30,1.00,5.40,8.90,2.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_096,Açaí (polpa sem açúcar),Frutas,Fruta,70.00,0.80,6.20,5.00,2.60,0.00,15.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_097,Tamarindo,Frutas,Fruta,239.00,2.80,62.50,0.60,5.10,38.80,28.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_098,Figo,Frutas,Fruta,74.00,0.80,19.20,0.30,2.90,16.30,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_099,Jabuticaba,Frutas,Fruta,58.00,0.60,15.30,0.10,2.30,11.00,0.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_100,Pitaya,Frutas,Fruta,50.00,1.20,12.90,0.40,3.00,7.60,0.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_102,Acerola,Frutas,Fruta,32.00,0.40,7.70,0.30,1.10,4.00,7.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_103,Amora,Frutas,Fruta,43.00,1.40,9.60,0.50,5.30,4.90,1.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_104,Cereja,Frutas,Fruta,63.00,1.00,16.00,0.20,2.10,12.80,0.00,unreviewed,,fruits,Frutas,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_105,Feijão carioca,Leguminosas,Leguminosa,76.00,5.50,13.60,0.50,8.50,0.30,1.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_106,Feijão preto,Leguminosas,Leguminosa,77.00,4.50,14.00,0.50,8.40,0.30,1.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_107,Lentilha,Leguminosas,Leguminosa,116.00,9.00,20.10,0.40,7.90,1.80,2.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_108,Grão-de-bico,Leguminosas,Leguminosa,164.00,8.90,27.40,2.60,7.60,4.80,7.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_109,Ervilha seca,Leguminosas,Leguminosa,118.00,8.30,21.10,0.40,8.30,2.90,2.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_110,Soja,Leguminosas,,147.00,13.00,11.10,6.80,6.00,3.00,1.00,reviewed_has_allergens,soy,legumes,Leguminosas,soy_protein,,vegetable,Vegetal,boiled,Cozido,g,Grama
food_111,Tofu,Leguminosas,,76.00,8.10,1.90,4.80,0.30,0.40,7.00,reviewed_has_allergens,soy,legumes,Leguminosas,soy_protein,,vegetable,Vegetal,raw,Cru,g,Grama
food_112,Castanha-do-pará,Gorduras,,656.00,14.30,12.30,66.40,7.50,2.30,3.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,nut,,vegetable,Vegetal,raw,Cru,g,Grama
food_113,Castanha de caju,Gorduras,,553.00,18.20,30.20,43.90,3.30,5.90,12.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,nut,,vegetable,Vegetal,raw,Cru,g,Grama
food_114,Nozes,Gorduras,,654.00,15.20,13.70,65.20,6.70,2.60,2.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,nut,,vegetable,Vegetal,raw,Cru,g,Grama
food_115,Amendoim,Gorduras,Leguminosa,567.00,25.80,16.10,49.20,8.50,4.70,18.00,reviewed_has_allergens,peanuts,fats,Gorduras,legume,Leguminosa,vegetable,Vegetal,raw,Cru,g,Grama
food_116,Semente de girassol,Gorduras,,584.00,20.80,20.00,51.50,8.60,2.60,9.00,unreviewed,,fats,Gorduras,seed,,vegetable,Vegetal,raw,Cru,g,Grama
food_117,Semente de abóbora,Gorduras,,559.00,30.20,10.70,49.10,6.00,1.30,7.00,unreviewed,,fats,Gorduras,seed,,vegetable,Vegetal,raw,Cru,g,Grama
food_118,Feijão branco,Leguminosas,Leguminosa,141.00,9.50,25.10,0.90,6.30,0.40,6.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_119,Feijão fradinho,Leguminosas,Leguminosa,128.00,8.80,23.30,0.50,7.90,3.30,4.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_120,Feijão roxinho,Leguminosas,Leguminosa,128.00,9.10,24.10,0.50,6.90,0.30,1.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_121,Tremoço,Leguminosas,Leguminosa,119.00,15.60,10.00,2.90,4.90,0.00,4.00,reviewed_has_allergens,lupin,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_122,Fava,Leguminosas,Leguminosa,88.00,7.60,19.70,0.40,6.20,1.80,5.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,boiled,Cozido,g,Grama
food_123,Miso (pasta de soja),Leguminosas,,199.00,11.70,20.50,6.00,5.40,6.20,3728.00,reviewed_has_allergens,soy,legumes,Leguminosas,soy_protein,,vegetable,Vegetal,processed,,g,Grama
food_124,Farinha de soja,Leguminosas,,398.00,49.20,30.10,1.10,13.00,7.40,13.00,reviewed_has_allergens,soy,legumes,Leguminosas,soy_protein,,vegetable,Vegetal,processed,,g,Grama
food_125,Edamame,Leguminosas,,121.00,11.90,9.90,5.20,5.00,2.20,6.00,reviewed_has_allergens,soy,legumes,Leguminosas,soy_protein,,vegetable,Vegetal,boiled,Cozido,g,Grama
food_126,Grão-de-bico torrado,Leguminosas,Leguminosa,365.00,15.00,61.00,6.00,10.00,5.20,280.00,unreviewed,,legumes,Leguminosas,legume,Leguminosa,vegetable,Vegetal,roasted,Assado (Forno),g,Grama
food_127,Semente de linhaça,Gorduras,,534.00,18.30,28.90,42.20,27.30,1.60,30.00,unreviewed,,fats,Gorduras,seed,,vegetable,Vegetal,raw,Cru,g,Grama
food_128,Semente de chia,Gorduras,,486.00,16.50,42.10,30.70,34.40,0.00,16.00,unreviewed,,fats,Gorduras,seed,,vegetable,Vegetal,raw,Cru,g,Grama
food_129,Noz pecã,Gorduras,,691.00,9.20,13.90,72.00,9.60,4.00,0.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,nut,,vegetable,Vegetal,raw,Cru,g,Grama
food_130,Noz de macadâmia,Gorduras,,718.00,7.90,13.80,75.80,8.60,4.60,5.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,nut,,vegetable,Vegetal,raw,Cru,g,Grama
food_131,Coco seco,Gorduras,Fruta,660.00,6.90,23.70,64.50,9.00,7.40,37.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_132,Coco ralado,Gorduras,Fruta,660.00,6.90,23.70,64.50,9.00,7.40,37.00,reviewed_has_allergens,tree_nuts,fats,Gorduras,fruit,Fruta,vegetable,Vegetal,processed,,g,Grama
food_137,Amêndoas,Proteínas,,579.00,21.20,21.60,49.90,12.50,4.40,1.00,reviewed_has_allergens,tree_nuts,proteins,Proteínas,nut,,vegetable,Vegetal,raw,Cru,g,Grama
